Nombre del Comercio;Dirección del Local;
RES SCALABRINI ORTIZ 4;RAÚL SCALABRINI ORTIZ 2366;  
RES SCALABRINI ORTIZ 4;RAÚL SCALABRINI ORTIZ 2366;  
RES SCALABRINI ORTIZ 4;SCALABRINI ORTIZ 2366;  
RES SCALABRINI ORTIZ 4;SCALABRINI ORTIZ 2366;  
RES SEGUROLA;SEGUROLA 1496;  
RES SEGUROLA;SEGUROLA 1496;  
RES SUCRE;MARISCAL ANTONIO J DE SUCRE 4244;  
RES TALCAHUANO;TALCAHUANO 924;  
RES TALCAHUANO;TALCAHUANO 924;  
RES TRIUNVIRATO;AV TRIUNVIRATO 3801;  
RES TRIUNVIRATO;AV TRIUNVIRATO 3801;  
RES TRIUNVIRATO;TRIUNVIRATO 3805;  
RES TRIUNVIRATO;TRIUNVIRATO 3805;  
RES UGARTE;MANUEL UGARTE 2899;  
RES UGARTE;MANUEL UGARTE 2899;  
RES VERA;VERA 102
RES VERA;VERA 102;  
RES VIAMONTE;VIAMONTE 701;  
RES VIAMONTE;VIAMONTE 701;  
RES VIEL;PEDRO GOYENA 293;  
RES VIEL;PEDRO GOYENA 293;  
RES VILLA LURO;AV RIVADAVIA 10274;  
RES VILLA LURO;AV RIVADAVIA 10274;  
RES VILLA LURO;RIVADAVIA 10274;  
RES VILLA LURO;RIVADAVIA 10274;  
RES VILLA URQUIZA;AV MONROE 4902
RES VILLA URQUIZA;AV MONROE 4902;  
RES VILLA URQUIZA;MONROE 4902;  
RES VILLA URQUIZA;MONROE 4902;  
RES YATAY;AV RIVADAVIA 44059;  
RES YATAY;AV RIVADAVIA 44059;  
RES YATAY;AV RIVADAVIA 4459;  
RES YATAY;AV RIVADAVIA 4459;  
RES YATAY;RIVADAVIA 4459;  
RES YATAY;RIVADAVIA 4459;  
RES ZAPIOLA;ZAPIOLA 2215
RES ZAPIOLA;ZAPIOLA 2215;  
SIETE TOROS;CUENCA 2683;  
SIETE TOROS;NUEVA YORK 4298;  
VALLE DE ORO;AV BOEDO 362;
